province_code,district_code,ward_code,province_name,district_name,ward_name,zalo_link
1,1,1,Thành phố Hà Nội,Quận Ba Đình,Phường Phúc Xá,https://zalo.me/hanoi-phucxa
1,1,4,Thành phố Hà Nội,Quận Ba Đình,Phường Trúc Bạch,
1,1,6,Thành phố Hà Nội,Quận Ba Đình,Phường Vĩnh Phúc,
1,1,7,Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,
1,1,8,Thành phố Hà Nội,Quận Ba Đình,Phường Liễu Giai,
1,1,13,Thành phố Hà Nội,Quận Ba Đình,Phường Quán Thánh,
1,1,16,Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Hà,
1,1,19,Thành phố Hà Nội,Quận Ba Đình,Phường Điện Biên,
1,1,22,Thành phố Hà Nội,Quận Ba Đình,Phường Đội Cấn,
1,1,25,Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Khánh,
1,1,28,Thành phố Hà Nội,Quận Ba Đình,Phường Kim Mã,
1,1,31,Thành phố Hà Nội,Quận Ba Đình,Phường Giảng Võ,
1,1,34,Thành phố Hà Nội,Quận Ba Đình,Phường Thành Công,
1,2,37,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Phúc Tân,
1,2,40,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Đồng Xuân,
1,2,43,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Mã,
1,2,46,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Buồm,
1,2,49,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Đào,
1,2,52,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bồ,
1,2,55,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Đông,
1,2,58,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Lý Thái Tổ,
1,2,61,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bạc,
1,2,64,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Gai,
1,2,67,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Chương Dương,
1,2,70,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Trống,
1,2,73,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Nam,
1,2,76,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bông,
1,2,79,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Tràng Tiền,
1,2,82,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Trần Hưng Đạo,
1,2,85,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Phan Chu Trinh,
1,2,88,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bài,
1,3,91,Thành phố Hà Nội,Quận Tây Hồ,Phường Phú Thượng,
1,3,94,Thành phố Hà Nội,Quận Tây Hồ,Phường Nhật Tân,
1,3,97,Thành phố Hà Nội,Quận Tây Hồ,Phường Tứ Liên,
1,3,100,Thành phố Hà Nội,Quận Tây Hồ,Phường Quảng An,
1,3,103,Thành phố Hà Nội,Quận Tây Hồ,Phường Xuân La,
1,3,106,Thành phố Hà Nội,Quận Tây Hồ,Phường Yên Phụ,
1,3,109,Thành phố Hà Nội,Quận Tây Hồ,Phường Bưởi,
1,3,112,Thành phố Hà Nội,Quận Tây Hồ,Phường Thụy Khuê,
1,4,115,Thành phố Hà Nội,Quận Long Biên,Phường Thượng Thanh,
1,4,118,Thành phố Hà Nội,Quận Long Biên,Phường Ngọc Thụy,
1,4,121,Thành phố Hà Nội,Quận Long Biên,Phường Giang Biên,
1,4,124,Thành phố Hà Nội,Quận Long Biên,Phường Đức Giang,
1,4,127,Thành phố Hà Nội,Quận Long Biên,Phường Việt Hưng,
1,4,130,Thành phố Hà Nội,Quận Long Biên,Phường Gia Thụy,
1,4,133,Thành phố Hà Nội,Quận Long Biên,Phường Ngọc Lâm,
1,4,136,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Lợi,
1,4,139,Thành phố Hà Nội,Quận Long Biên,Phường Bồ Đề,
1,4,145,Thành phố Hà Nội,Quận Long Biên,Phường Long Biên,
1,4,148,Thành phố Hà Nội,Quận Long Biên,Phường Thạch Bàn,
1,4,151,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Đồng,
1,4,154,Thành phố Hà Nội,Quận Long Biên,Phường Cự Khối,
1,5,157,Thành phố Hà Nội,Quận Cầu Giấy,Phường Nghĩa Đô,
1,5,160,Thành phố Hà Nội,Quận Cầu Giấy,Phường Nghĩa Tân,
1,5,163,Thành phố Hà Nội,Quận Cầu Giấy,Phường Mai Dịch,
1,5,166,Thành phố Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng,
1,5,167,Thành phố Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,
1,5,169,Thành phố Hà Nội,Quận Cầu Giấy,Phường Quan Hoa,
1,5,172,Thành phố Hà Nội,Quận Cầu Giấy,Phường Yên Hoà,
1,5,175,Thành phố Hà Nội,Quận Cầu Giấy,Phường Trung Hoà,
1,6,178,Thành phố Hà Nội,Quận Đống Đa,Phường Cát Linh,
1,6,181,Thành phố Hà Nội,Quận Đống Đa,Phường Văn Miếu - Quốc Tử Giám,
1,6,187,Thành phố Hà Nội,Quận Đống Đa,Phường Láng Thượng,
1,6,190,Thành phố Hà Nội,Quận Đống Đa,Phường Ô Chợ Dừa,
1,6,193,Thành phố Hà Nội,Quận Đống Đa,Phường Văn Chương,
1,6,196,Thành phố Hà Nội,Quận Đống Đa,Phường Hàng Bột,
1,6,199,Thành phố Hà Nội,Quận Đống Đa,Phường Láng Hạ,
1,6,202,Thành phố Hà Nội,Quận Đống Đa,Phường Khâm Thiên,
1,6,205,Thành phố Hà Nội,Quận Đống Đa,Phường Thổ Quan,
1,6,208,Thành phố Hà Nội,Quận Đống Đa,Phường Nam Đồng,
1,6,214,Thành phố Hà Nội,Quận Đống Đa,Phường Quang Trung,
1,6,217,Thành phố Hà Nội,Quận Đống Đa,Phường Trung Liệt,
1,6,226,Thành phố Hà Nội,Quận Đống Đa,Phường Phương Liên - Trung Tự,
1,6,229,Thành phố Hà Nội,Quận Đống Đa,Phường Kim Liên,
1,6,232,Thành phố Hà Nội,Quận Đống Đa,Phường Phương Mai,
1,6,235,Thành phố Hà Nội,Quận Đống Đa,Phường Thịnh Quang,
1,6,238,Thành phố Hà Nội,Quận Đống Đa,Phường Khương Thượng,
1,7,241,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Nguyễn Du,
1,7,244,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Bạch Đằng,
1,7,247,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Phạm Đình Hổ,
1,7,256,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Lê Đại Hành,
1,7,259,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Đồng Nhân,
1,7,262,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Phố Huế,
1,7,268,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Thanh Lương,
1,7,271,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Thanh Nhàn,
1,7,277,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Bách Khoa,
1,7,280,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Đồng Tâm,
1,7,283,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Vĩnh Tuy,
1,7,289,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Quỳnh Mai,
1,7,292,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Bạch Mai,
1,7,295,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Minh Khai,
1,7,298,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Trương Định,
1,8,301,Thành phố Hà Nội,Quận Hoàng Mai,Phường Thanh Trì,
1,8,304,Thành phố Hà Nội,Quận Hoàng Mai,Phường Vĩnh Hưng,
1,8,307,Thành phố Hà Nội,Quận Hoàng Mai,Phường Định Công,
1,8,310,Thành phố Hà Nội,Quận Hoàng Mai,Phường Mai Động,
